대표발의자_정당,공동발의자_정당,협력지수,파일명,평균_혼합성지수
자유한국당,더불어민주당,0.021594403455842393,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
자유한국당,자유한국당,0.9309749236803088,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
자유한국당,정의당,0.005957554687344993,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
정의당,국민의당,0.009224134606343283,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
정의당,더불어민주당,0.05677965053920252,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
정의당,정의당,0.3524536884251207,20대_소관위원회_외교통일위원회.csv,0.11467473524962178
국민의당,국민의당,0.7745966692414834,20대_소관위원회_정보위원회.csv,0.05188679245283019
국민의당,더불어민주당,0.058608708585388296,20대_소관위원회_정보위원회.csv,0.05188679245283019
국민의당,정의당,0.07453559924999299,20대_소관위원회_정보위원회.csv,0.05188679245283019
더불어민주당,국민의당,0.07994118492388491,20대_소관위원회_정보위원회.csv,0.05188679245283019
더불어민주당,더불어민주당,0.9549924636153493,20대_소관위원회_정보위원회.csv,0.05188679245283019
더불어민주당,정의당,0.12461597451488504,20대_소관위원회_정보위원회.csv,0.05188679245283019
자유한국당,국민의당,0.009021097956087904,20대_소관위원회_정보위원회.csv,0.05188679245283019
자유한국당,자유한국당,0.9980449639169571,20대_소관위원회_정보위원회.csv,0.05188679245283019
정의당,국민의당,0.048112522432468816,20대_소관위원회_정보위원회.csv,0.05188679245283019
정의당,더불어민주당,0.056165595630173044,20대_소관위원회_정보위원회.csv,0.05188679245283019
정의당,정의당,0.4166666666666667,20대_소관위원회_정보위원회.csv,0.05188679245283019
